,0,1,2,3,4,5,6,7,8
9,/lol/na-academy-league-2018-spring/season/optic-academy-vs-clutch-academy-80442,/media/flag/2.png,/media/flag/2.png,/lol/na-academy-league-2018-spring/season,/media/tournament/_60/e2025.png,,OpTic Ac.счетClutch Ac.,"09 февраля, 2018, 07:17",
10,/lol/na-academy-league-2018-spring/season/liquid-academy-vs-efx-academy-80443,/media/flag/2.png,/media/flag/2.png,/lol/na-academy-league-2018-spring/season,/media/tournament/_60/e2025.png,,TLAсчетEF Ac.,"09 февраля, 2018, 06:45",
11,/lol/cdln-2018-opening/season/ordo-equitum-vs-lyon-gaming-81481,/media/flag/79.png,/media/flag/79.png,/lol/cdln-2018-opening/season,/media/tournament/_60/e2042.png,,OEсчетLYN,"09 февраля, 2018, 06:42",
12,/lol/cdln-2018-opening/season/pex-team-vs-elite-wolves-81482,/media/flag/79.png,/media/flag/36.png,/lol/cdln-2018-opening/season,/media/tournament/_60/e2042.png,,PEXсчетEW,"09 февраля, 2018, 06:41",
13,/lol/na-academy-league-2018-spring/season/tsm-academy-vs-clg-academy-80444,/media/flag/2.png,/media/flag/13.png,/lol/na-academy-league-2018-spring/season,/media/tournament/_60/e2025.png,,TSMAсчетCLGA,"09 февраля, 2018, 06:33",
14,/lol/na-academy-league-2018-spring/season/ggs-academy-vs-100-academy-80445,/media/flag/2.png,/media/flag/2.png,/lol/na-academy-league-2018-spring/season,/media/tournament/_60/e2025.png,,GGSAсчет100A,"09 февраля, 2018, 05:37",
15,/lol/na-academy-league-2018-spring/season/flyquest-academy-vs-c9-academy-80446,/media/flag/2.png,/media/flag/2.png,/lol/na-academy-league-2018-spring/season,/media/tournament/_60/e2025.png,,FQAсчетC9A,"09 февраля, 2018, 05:36",
16,/lol/lms-2018-spring/season/ahq-vs-fw-61262,/media/flag/7.png,/media/flag/7.png,/lol/lms-2018-spring/season,/media/tournament/_60/e1462.png,,ahqсчетFW,"08 февраля, 2018, 18:22",
17,/lol/lck-2018-spring/season/jin-air-vs-rox-tigers-60666,/media/flag/1.png,/media/flag/1.png,/lol/lck-2018-spring/season,/media/tournament/_60/e1972.png,,JAGсчетROX,"08 февраля, 2018, 17:17",
18,/lol/lms-2018-spring/season/hka-vs-g-rex-61261,/media/flag/56.png,/media/flag/7.png,/lol/lms-2018-spring/season,/media/tournament/_60/e1462.png,,HKAсчетGRX,"08 февраля, 2018, 15:00",
19,/lol/lck-2018-spring/season/afreeca-vs-mvp-60665,/media/flag/1.png,/media/flag/1.png,/lol/lck-2018-spring/season,/media/tournament/_60/e1972.png,,AFсчетMVP,"08 февраля, 2018, 14:24",
0,/lol/lck-2018-spring/season/kt-rolster-vs-king-zone-dragonx-60664,/media/flag/1.png,/media/flag/1.png,/lol/lck-2018-spring/season,/media/tournament/_60/e1972.png,,ktсчетKZ,"07 февраля, 2018, 18:20",
1,/lol/lpl-2018-spring/season/invictus-gaming-vs-funplus-phoenix-61336,/media/flag/4.png,/media/flag/4.png,/lol/lpl-2018-spring/season,/media/tournament/_60/e966.png,,iGсчетFPX,"07 февраля, 2018, 18:00",
2,/lol/lpl-2018-spring/season/bilibili-gaming-vs-topsports-gaming-61335,/media/flag/4.png,/media/flag/4.png,/lol/lpl-2018-spring/season,/media/tournament/_60/e966.png,,BLGсчетTOP,"07 февраля, 2018, 16:00",
3,/lol/lck-2018-spring/season/bbq-olivers-vs-skt-t1-60663,/media/flag/1.png,/media/flag/1.png,/lol/lck-2018-spring/season,/media/tournament/_60/e1972.png,,bbqсчетT1,"07 февраля, 2018, 14:31",
4,/lol/tcs-2018-winter/season/cilekler-vs-oyun-hizmetleri-79928,/media/flag/38.png,/media/flag/38.png,/lol/tcs-2018-winter/season,/media/tournament/_60/e2012.png,,CLKсчетOHM,"07 февраля, 2018, 02:17",
5,/lol/tcs-2018-winter/season/oyun-hizmetleri-vs-cilekler-79920,/media/flag/38.png,/media/flag/38.png,/lol/tcs-2018-winter/season,/media/tournament/_60/e2012.png,,OHMсчетCLK,"07 февраля, 2018, 01:07",
6,/lol/tcs-2018-winter/season/besiktas-vs-p3p-esports-79929,/media/flag/38.png,/media/flag/38.png,/lol/tcs-2018-winter/season,/media/tournament/_60/e2012.png,,BJKсчетP3P,"07 февраля, 2018, 00:15",
7,/lol/tcs-2018-winter/season/p3p-esports-vs-besiktas-79925,/media/flag/38.png,/media/flag/38.png,/lol/tcs-2018-winter/season,/media/tournament/_60/e2012.png,,P3PсчетBJK,"06 февраля, 2018, 23:06",
8,/lol/tcs-2018-winter/season/cappadocia-vs-macro-maniacs-79930,/media/flag/38.png,/media/flag/38.png,/lol/tcs-2018-winter/season,/media/tournament/_60/e2012.png,,CappaсчетMCM,"06 февраля, 2018, 21:56",
9,/lol/tcs-2018-winter/season/macro-maniacs-vs-cappadocia-79908,/media/flag/38.png,/media/flag/38.png,/lol/tcs-2018-winter/season,/media/tournament/_60/e2012.png,,MCMсчетCappa,"06 февраля, 2018, 20:57",
10,/lol/lck-2018-spring/season/kongdoo-vs-afreeca-60662,/media/flag/1.png,/media/flag/1.png,/lol/lck-2018-spring/season,/media/tournament/_60/e1972.png,,KDMсчетAF,"06 февраля, 2018, 18:16",
11,/lol/lpl-2018-spring/season/lgd-vs-snake-61334,/media/flag/4.png,/media/flag/4.png,/lol/lpl-2018-spring/season,/media/tournament/_60/e966.png,,LGDсчетSS,"06 февраля, 2018, 18:00",
12,/lol/lpl-2018-spring/season/vici-vs-suning-gaming-61333,/media/flag/4.png,/media/flag/4.png,/lol/lpl-2018-spring/season,/media/tournament/_60/e966.png,,VGсчетSNG,"06 февраля, 2018, 16:00",
13,/lol/lck-2018-spring/season/rox-tigers-vs-ksv-esports-60661,/media/flag/1.png,/media/flag/1.png,/lol/lck-2018-spring/season,/media/tournament/_60/e1972.png,,ROXсчетKSV,"06 февраля, 2018, 14:42",
